id,shop_name,product_name,product_code,product_quantity,unit_price,discount,total_price,order_date,payment_due,payment,payment_date,payment_status,late_payment_status,city,province
1482,Yronksr,Foltus 1L X 20,FOL-35,85,8,3,684,10/18/2020,2/15/2021,684,3/23/2023,FALSE,FALSE,Kabupaten Kulon Progo,Daerah Istimewa Yogyakarta
1483,Tmewk,unused,UNU-64,32,42,15,1332,10/30/2020,6/27/2021,1332,3/29/2023,TRUE,FALSE,Kota Yogyakarta,Daerah Istimewa Yogyakarta
1484,Xphqu,EXPLORE 80 ML X 36,EXP-34,26,8,15,204,5/15/2020,9/6/2021,204,4/2/2023,FALSE,FALSE,Kabupaten Gunungkidul,Daerah Istimewa Yogyakarta
1485,Ffcsef,Ricequick 100 Gr X 70,RIC-55,27,26,1,707,5/31/2020,10/23/2021,707,3/27/2023,TRUE,FALSE,Kabupaten Klaten,Jawa Tengah
1486,Yronksr,YaraMila Complex X (50Kg),YAR-68,51,38,7,1939,5/6/2020,8/5/2021,1939,4/1/2023,TRUE,TRUE,Kabupaten Kulon Progo,Daerah Istimewa Yogyakarta
1487,Vuppx,YaraMila Winner (50 Kg),YAR-72,45,24,6,1058,3/14/2020,4/6/2021,1058,3/24/2023,TRUE,TRUE,Kabupaten Sleman,Daerah Istimewa Yogyakarta
1488,Jltguio,Foltus 1L X 20,FOL-35,46,9,2,412,8/15/2020,10/20/2021,412,3/31/2023,FALSE,TRUE,Kabupaten Pekalongan,Jawa Tengah
1489,Znmlyx,BLASIL 250 ML X 40,BLA-14,14,11,10,139,7/28/2020,6/19/2021,139,3/23/2023,FALSE,TRUE,Kota Yogyakarta,Daerah Istimewa Yogyakarta
1490,Pemfo,CALIWA 350 OD 250 ML X 40,CAL-15,34,15,10,494,11/20/2020,8/31/2021,494,3/30/2023,FALSE,FALSE,Kabupaten Wonogiri,Jawa Tengah
1491,Hfwdd,Blasil 100 ml X 100,BLA-13,81,35,10,2803,3/29/2020,3/5/2021,2803,3/31/2023,TRUE,FALSE,Kabupaten Purbalingga,Jawa Tengah
1492,Azgcq,YaraMila Unik (50 Kg),YAR-71,39,27,8,1053,2/19/2020,11/15/2021,1053,3/24/2023,TRUE,TRUE,Kabupaten Kendal,Jawa Tengah
1493,Ilfbe,JOKER 400 Gr X 25,JOK-40,44,34,18,1490,11/17/2020,3/12/2021,1490,3/29/2023,FALSE,TRUE,Kabupaten Pemalang,Jawa Tengah
1494,Ifxmrr,SUPRETOX 500 ML X 24,SUP-61,44,41,18,1769,10/6/2020,11/5/2021,1769,3/23/2023,FALSE,FALSE,Kabupaten Blora,Jawa Tengah
1495,Omqwwab,Anilo 100 Gr x 50,ANI-3,28,16,4,448,12/26/2020,2/6/2021,448,3/31/2023,TRUE,FALSE,Kabupaten Grobogan,Jawa Tengah
1496,Dojntoc,AGIL 100 ML X 100,AGI-1,23,21,16,463,11/10/2020,4/23/2021,463,3/22/2023,FALSE,TRUE,Kabupaten Grobogan,Jawa Tengah
1497,Bihrome,Avatar 100 ml X 36,AVA-8,38,9,7,329,11/23/2020,8/15/2021,329,4/2/2023,FALSE,FALSE,Kota Surakarta,Jawa Tengah
1498,Mmtkhr,CHLORMITE 100 ML X 120,CHL-18,36,27,11,976,11/3/2020,6/6/2021,976,3/28/2023,TRUE,FALSE,Kabupaten Purbalingga,Jawa Tengah
1499,Ffcsef,EXPLORE 250 ML X 36,EXP-33,46,34,18,1527,11/6/2020,4/10/2021,1527,3/28/2023,FALSE,TRUE,Kabupaten Klaten,Jawa Tengah
1500,Slqvzjy,Remazole 400 ml X 20,REM-54,52,27,7,1398,3/13/2020,2/14/2021,1398,3/31/2023,FALSE,TRUE,Kabupaten Gunungkidul,Daerah Istimewa Yogyakarta
1501,Lbsskne,Avatar 100 ml X 36,AVA-8,83,47,1,3934,12/2/2020,3/16/2021,3934,3/26/2023,FALSE,FALSE,Kota Semarang,Jawa Tengah
1502,Ychfbg,Liberty 1Kg X 20,LIB-48,94,20,9,1849,3/8/2020,1/21/2021,1849,3/22/2023,TRUE,TRUE,Kabupaten Gunungkidul,Daerah Istimewa Yogyakarta
1503,Jteshi,Anilo 400 Gr X 20,ANI-4,32,8,4,264,2/7/2020,6/22/2021,264,3/28/2023,FALSE,FALSE,Kabupaten Pemalang,Jawa Tengah
1504,Slqvzjy,CHLORMITE 900 ML X 20,CHL-21,58,22,12,1248,1/1/2020,6/9/2021,1248,3/21/2023,TRUE,TRUE,Kabupaten Gunungkidul,Daerah Istimewa Yogyakarta
1505,Plkia,Dense 200 Gr X 20,DEN-29,33,5,4,171,3/8/2020,7/20/2021,171,4/1/2023,FALSE,FALSE,Kabupaten Pemalang,Jawa Tengah
1506,Acjhvrm,BLASIL 250 ML X 40,BLA-14,70,42,15,2910,4/19/2020,5/24/2021,2910,3/22/2023,TRUE,TRUE,Kabupaten Purworejo,Jawa Tengah
1507,Ptfakl,Blasil 100 ml X 100,BLA-13,43,33,0,1404,8/12/2020,5/8/2021,1404,4/2/2023,FALSE,FALSE,Kabupaten Grobogan,Jawa Tengah
1508,Bgvpp,Foltus 500 ML X 24,FOL-36,57,16,3,892,4/2/2020,9/8/2021,892,3/31/2023,FALSE,TRUE,Kabupaten Semarang,Jawa Tengah
1509,Lbsskne,YaraMila Faster (50 Kg),YAR-69,33,39,10,1278,11/9/2020,11/19/2021,1278,3/28/2023,FALSE,TRUE,Kota Semarang,Jawa Tengah
1510,Cfafmw,Liberty 250 Gr X 40,LIB-49,25,32,11,786,4/24/2020,10/9/2021,786,3/22/2023,TRUE,TRUE,Kabupaten Rembang,Jawa Tengah
1511,Bqnus,YaraMila Complex X (50Kg),YAR-68,14,50,12,682,5/2/2020,3/22/2021,682,3/31/2023,TRUE,TRUE,Kabupaten Sragen,Jawa Tengah
1512,Mdvqtf,EXPLORE 80 ML X 36,EXP-34,52,16,19,838,10/22/2020,9/17/2021,838,3/22/2023,TRUE,FALSE,Kabupaten Sragen,Jawa Tengah
1513,Gojfeq,Liberty 1Kg X 20,LIB-48,30,19,3,562,11/26/2020,2/3/2021,562,4/1/2023,TRUE,TRUE,Kabupaten Kendal,Jawa Tengah
1514,Yfentk,EXPLORE 80 ML X 36,EXP-34,29,10,10,293,9/10/2020,12/27/2021,293,3/21/2023,TRUE,TRUE,Kabupaten Sleman,Daerah Istimewa Yogyakarta
1515,Vrhqv,YaraMila Winner (50 Kg),YAR-72,85,36,1,3069,4/18/2020,9/6/2021,3069,4/1/2023,TRUE,FALSE,Kabupaten Sleman,Daerah Istimewa Yogyakarta
1516,Xniyvoq,LEILI 100 ML X 60,LEI-46,16,5,6,74,4/12/2020,10/31/2021,74,4/1/2023,TRUE,TRUE,Kabupaten Kulon Progo,Daerah Istimewa Yogyakarta
1517,Rstgunn,SUPREMO 500 ML X 24,SUP-59,62,44,2,2753,6/20/2020,4/26/2021,2753,3/26/2023,TRUE,TRUE,Kabupaten Kulon Progo,Daerah Istimewa Yogyakarta
1518,Acjhvrm,YaraVita Tripholate (2.5 g) @50,YAR-73,14,35,5,491,3/24/2020,6/19/2021,491,3/31/2023,TRUE,TRUE,Kabupaten Purworejo,Jawa Tengah
1519,Tjkwwa,EXPLORE 250 ML X 36,EXP-33,96,8,12,792,11/28/2020,7/7/2021,792,3/26/2023,FALSE,TRUE,Kabupaten Kulon Progo,Daerah Istimewa Yogyakarta
1520,Vwxqqo,Dense 200 Gr X 20,DEN-29,51,30,9,1530,8/6/2020,4/18/2021,1530,3/25/2023,TRUE,TRUE,Kabupaten Sleman,Daerah Istimewa Yogyakarta
1521,Znmlyx,Cozeb 1 Kg X 20,COZ-24,31,47,13,1448,6/15/2020,11/1/2021,1448,3/24/2023,TRUE,FALSE,Kota Yogyakarta,Daerah Istimewa Yogyakarta
1522,Mipavxv,YaraLiva Nitrabor (25 Kg),YAR-66,56,35,4,1957,1/27/2020,12/1/2021,1957,3/27/2023,TRUE,FALSE,Kabupaten Kudus,Jawa Tengah
1523,Hfwdd,YaraMila Winner (50 Kg),YAR-72,17,11,16,176,2/16/2020,8/3/2021,176,3/29/2023,TRUE,TRUE,Kabupaten Purbalingga,Jawa Tengah
1524,Znmlyx,JOKER 100 Gr X 50,JOK-39,82,46,11,3747,10/19/2020,4/12/2021,3747,4/1/2023,TRUE,FALSE,Kota Yogyakarta,Daerah Istimewa Yogyakarta
1525,Xcksch,Custodia 250 ML X 40,CUS-25,61,20,6,1238,10/22/2020,9/20/2021,1238,3/28/2023,FALSE,FALSE,Kabupaten Kulon Progo,Daerah Istimewa Yogyakarta
1526,Pemfo,ZENPRO NPK LIQUID X 15,ZEN-75,74,14,14,1043,12/17/2020,9/4/2021,1043,3/29/2023,FALSE,TRUE,Kabupaten Wonogiri,Jawa Tengah
1527,Riozlo,Corona 250 ML X 36,COR-23,76,8,9,579,4/11/2020,11/4/2021,579,3/23/2023,TRUE,FALSE,Kabupaten Magelang,Jawa Tengah
1528,Yfjro,YaraLiva Tropicote (25 Kg),YAR-67,37,2,12,76,4/15/2020,1/13/2021,76,3/23/2023,TRUE,FALSE,Kabupaten Bantul,Daerah Istimewa Yogyakarta
1529,Vuppx,YaraMila Palmae 50 Kg,YAR-70,66,14,0,921,7/17/2020,7/25/2021,921,3/22/2023,TRUE,TRUE,Kabupaten Sleman,Daerah Istimewa Yogyakarta
1530,Bzhvs,Astonish 500 ML X 24,AST-7,32,36,2,1160,5/1/2020,2/23/2021,1160,3/31/2023,FALSE,TRUE,Kabupaten Rembang,Jawa Tengah
1531,Vemfyt,YaraMila Faster (50 Kg),YAR-69,65,38,1,2455,7/25/2020,2/25/2021,2455,3/21/2023,FALSE,TRUE,Kabupaten Sleman,Daerah Istimewa Yogyakarta
1532,Owgni,YaraMila Palmae 50 Kg,YAR-70,58,44,19,2520,1/29/2020,2/23/2021,2520,3/22/2023,FALSE,FALSE,Kabupaten Rembang,Jawa Tengah
1533,Ngcswb,JOKER 400 Gr X 25,JOK-40,98,17,3,1626,1/21/2020,7/18/2021,1626,3/24/2023,FALSE,TRUE,Kabupaten Sragen,Jawa Tengah
1534,Lbsskne,Gandewa 500 ML X 10,GAN-38,99,35,17,3416,1/7/2020,11/11/2021,3416,3/31/2023,TRUE,TRUE,Kota Semarang,Jawa Tengah
1535,Mmtkhr,Ricequick 100 Gr X 70,RIC-55,45,44,15,1965,12/27/2020,6/19/2021,1965,3/30/2023,TRUE,FALSE,Kabupaten Purbalingga,Jawa Tengah
1536,Dchrno,DUMIL 100 Gr X 100,DUM-31,25,33,2,816,10/30/2020,5/10/2021,816,3/25/2023,FALSE,TRUE,Kabupaten Wonosobo,Jawa Tengah
1537,Ychfbg,Astonish 500 ML X 24,AST-7,96,24,1,2314,2/3/2020,3/3/2021,2314,3/27/2023,TRUE,FALSE,Kabupaten Gunungkidul,Daerah Istimewa Yogyakarta
1538,Dgpzet,LEILI 1 L X 20,LEI-45,56,24,2,1347,11/18/2020,12/20/2021,1347,3/27/2023,TRUE,FALSE,Kabupaten Grobogan,Jawa Tengah
1539,Kutgzhf,LEILI 250 ML X 48,LEI-47,64,10,18,642,8/30/2020,11/26/2021,642,3/26/2023,TRUE,TRUE,Kota Pekalongan,Jawa Tengah
1540,Zdkwb,CHLORMITE 100 ML X 120,CHL-18,41,27,4,1101,2/16/2020,3/29/2021,1101,3/25/2023,TRUE,FALSE,Kabupaten Kulon Progo,Daerah Istimewa Yogyakarta
1541,Hzphnyx,Dangke 100 Gr X 100,DAN-26,87,45,17,3937,6/4/2020,9/4/2021,3937,3/23/2023,FALSE,FALSE,Kabupaten Boyolali,Jawa Tengah
1542,Bihrome,Dangke 100 Gr X 100,DAN-26,99,33,15,3277,7/24/2020,11/25/2021,3277,3/25/2023,FALSE,FALSE,Kota Surakarta,Jawa Tengah
1543,Hohsc,Dense 500 Gr X 20,DEN-30,75,42,14,3142,6/20/2020,5/19/2021,3142,3/28/2023,FALSE,FALSE,Kabupaten Kebumen,Jawa Tengah
1544,Rstgunn,JOKER 400 Gr X 25,JOK-40,44,25,20,1101,10/18/2020,4/16/2021,1101,3/28/2023,FALSE,FALSE,Kabupaten Kulon Progo,Daerah Istimewa Yogyakarta
1545,Cemiujs,Chalenger 1L X 20,CHA-17,17,25,8,419,12/11/2020,11/8/2021,419,3/22/2023,TRUE,FALSE,Kabupaten Purbalingga,Jawa Tengah
1546,Slqvzjy,YaraLiva Tropicote (25 Kg),YAR-67,64,14,2,912,3/24/2020,12/28/2021,912,3/22/2023,FALSE,FALSE,Kabupaten Gunungkidul,Daerah Istimewa Yogyakarta
1547,Nkfkpx,SUPREMO 500 ML X 24,SUP-59,59,19,14,1089,12/23/2020,12/2/2021,1089,4/1/2023,FALSE,TRUE,Kabupaten Boyolali,Jawa Tengah
1548,Jltguio,Anilo 50 Gr X 100,ANI-5,10,34,9,333,4/2/2020,11/17/2021,333,4/2/2023,FALSE,FALSE,Kabupaten Pekalongan,Jawa Tengah
1549,Ocpmzbq,CHLORMITE 200 ML X 48,CHL-19,45,32,5,1427,4/1/2020,10/9/2021,1427,3/22/2023,TRUE,FALSE,Kabupaten Batang,Jawa Tengah
1550,Pemfo,SUPRETOX 500 ML X 24,SUP-61,54,2,19,68,2/14/2020,1/21/2021,68,4/1/2023,FALSE,FALSE,Kabupaten Wonogiri,Jawa Tengah
1551,Vrhqv,CALIWA 350 OD 250 ML X 40,CAL-15,10,31,17,289,12/11/2020,10/21/2021,289,4/2/2023,TRUE,FALSE,Kabupaten Sleman,Daerah Istimewa Yogyakarta
1552,Nkfkpx,KLENSECT 200 ML X 48,KLE-42,95,47,2,4441,3/19/2020,9/18/2021,4441,3/21/2023,TRUE,FALSE,Kabupaten Boyolali,Jawa Tengah
1553,Jeahw,Corona 100 ML X 36,COR-22,99,11,17,1043,7/5/2020,4/1/2021,1043,4/2/2023,FALSE,TRUE,Kabupaten Demak,Jawa Tengah
1554,Dojntoc,Astonish 100 ML X 60,AST-6,41,9,4,350,5/15/2020,6/30/2021,350,3/30/2023,TRUE,FALSE,Kabupaten Grobogan,Jawa Tengah
1555,Srwxf,YaraMila Complex X (50Kg),YAR-68,79,6,3,475,3/19/2020,10/15/2021,475,4/2/2023,FALSE,TRUE,Kabupaten Sleman,Daerah Istimewa Yogyakarta
1556,Kxzos,Spreader 500 ML X 24,SPR-57,17,26,7,431,11/7/2020,6/6/2021,431,3/30/2023,FALSE,FALSE,Kabupaten Semarang,Jawa Tengah
1557,Ntdanez,Corona 250 ML X 36,COR-23,91,6,14,521,2/29/2020,6/24/2021,521,3/25/2023,FALSE,TRUE,Kabupaten Purbalingga,Jawa Tengah
1558,Usiydw,YaraMila Faster (50 Kg),YAR-69,79,33,17,2608,8/24/2020,3/13/2021,2608,4/2/2023,FALSE,FALSE,Kabupaten Gunungkidul,Daerah Istimewa Yogyakarta
1559,Nqqef,unused,UNU-64,89,39,16,3492,8/4/2020,10/19/2021,3492,3/31/2023,FALSE,FALSE,Kabupaten Banyumas,Jawa Tengah
1560,Krgska,Betanil 500 Gr x 20,BET-12,85,9,0,726,7/18/2020,5/2/2021,726,3/28/2023,FALSE,TRUE,Kota Salatiga,Jawa Tengah
1561,Qgpqkl,AGIL 250 ML X 40,AGI-2,69,9,12,609,4/2/2020,12/2/2021,609,3/31/2023,FALSE,TRUE,Kabupaten Wonogiri,Jawa Tengah
1562,Vwxqqo,YaraMila Faster (50 Kg),YAR-69,43,29,12,1223,7/24/2020,9/2/2021,1223,3/30/2023,TRUE,FALSE,Kabupaten Sleman,Daerah Istimewa Yogyakarta
1563,Bdkcey,CHLORMITE 200 ML X 48,CHL-19,35,35,6,1207,11/1/2020,1/24/2021,1207,3/30/2023,TRUE,FALSE,Kota Magelang,Jawa Tengah
1564,Omqwwab,CHLORMITE 900 ML X 20,CHL-21,63,21,8,1328,6/26/2020,2/24/2021,1328,3/28/2023,TRUE,TRUE,Kabupaten Grobogan,Jawa Tengah
1565,Zwfkq,Chalenger 1L X 20,CHA-17,64,9,10,566,7/13/2020,8/8/2021,566,3/22/2023,TRUE,FALSE,Kabupaten Gunungkidul,Daerah Istimewa Yogyakarta
1566,Xjfklgz,Betanil 500 Gr x 20,BET-12,73,47,16,3413,5/1/2020,5/13/2021,3413,3/23/2023,FALSE,TRUE,Kabupaten Kulon Progo,Daerah Istimewa Yogyakarta
1567,Rroahug,Astonish 100 ML X 60,AST-6,94,46,14,4325,2/29/2020,7/25/2021,4325,3/27/2023,TRUE,FALSE,Kabupaten Sleman,Daerah Istimewa Yogyakarta
1568,Bqnus,LEILI 1 L X 20,LEI-45,73,21,1,1524,11/7/2020,5/30/2021,1524,3/23/2023,FALSE,FALSE,Kabupaten Sragen,Jawa Tengah
1569,Hohsc,Anilo 50 Gr X 100,ANI-5,27,27,9,713,4/16/2020,8/28/2021,713,3/28/2023,TRUE,FALSE,Kabupaten Kebumen,Jawa Tengah
1570,Rstgunn,Liberty 250 Gr X 40,LIB-49,98,42,1,4111,7/22/2020,10/16/2021,4111,3/23/2023,FALSE,TRUE,Kabupaten Kulon Progo,Daerah Istimewa Yogyakarta
1571,Afojs,SUPRETOX 1 L X 20,SUP-60,82,4,10,285,2/25/2020,9/1/2021,285,3/26/2023,FALSE,TRUE,Kabupaten Sukoharjo,Jawa Tengah
1572,Blxqtb,CHLORMITE 200 ML X 48,CHL-19,71,24,1,1679,5/10/2020,3/2/2021,1679,3/22/2023,TRUE,FALSE,Kabupaten Pemalang,Jawa Tengah
1573,Noxszq,YaraMila Complex X (50Kg),YAR-68,44,47,7,2045,12/22/2020,8/3/2021,2045,3/24/2023,TRUE,TRUE,Kabupaten Magelang,Jawa Tengah
1574,Yfentk,Spreader 250 ML X 48,SPR-56,39,24,6,926,9/1/2020,5/20/2021,926,4/1/2023,TRUE,FALSE,Kabupaten Sleman,Daerah Istimewa Yogyakarta
1575,Bgvpp,LEILI 100 ML X 60,LEI-46,30,49,1,1455,1/15/2020,7/2/2021,1455,3/21/2023,FALSE,TRUE,Kabupaten Semarang,Jawa Tengah
1576,Cvxnimc,EXPLORE 80 ML X 36,EXP-34,12,22,4,264,7/19/2020,9/12/2021,264,3/24/2023,FALSE,TRUE,Kota Surakarta,Jawa Tengah
1577,Vuppx,CHLORMITE 400 ML X 24,CHL-20,82,22,11,1813,6/15/2020,8/4/2021,1813,3/29/2023,TRUE,FALSE,Kabupaten Sleman,Daerah Istimewa Yogyakarta
1578,Rroahug,Spreader 250 ML X 48,SPR-56,19,21,18,388,1/9/2020,2/23/2021,388,3/21/2023,FALSE,FALSE,Kabupaten Sleman,Daerah Istimewa Yogyakarta
1579,Csaxcs,Chalenger 1L X 20,CHA-17,78,37,18,2863,3/19/2020,11/18/2021,2863,3/31/2023,FALSE,TRUE,Kabupaten Rembang,Jawa Tengah
1580,Vwxqqo,Liberty 500 X 20,LIB-50,73,26,7,1895,4/3/2020,3/26/2021,1895,3/24/2023,TRUE,FALSE,Kabupaten Sleman,Daerah Istimewa Yogyakarta
1581,Fukyoqz,Liberty 500 X 20,LIB-50,88,48,5,4238,8/8/2020,2/4/2021,4238,4/1/2023,FALSE,FALSE,Kabupaten Brebes,Jawa Tengah
1582,Uqvcs,CHLORMITE 100 ML X 120,CHL-18,47,5,1,230,8/12/2020,7/1/2021,230,3/26/2023,FALSE,TRUE,Kota Yogyakarta,Daerah Istimewa Yogyakarta
1583,Cmudany,Remazole 400 ml X 20,REM-54,50,27,1,1358,12/13/2020,12/4/2021,1358,3/28/2023,TRUE,FALSE,Kota Pekalongan,Jawa Tengah
1584,Zavxgh,YaraMila Faster (50 Kg),YAR-69,80,26,4,2043,11/25/2020,10/26/2021,2043,3/28/2023,TRUE,FALSE,Kabupaten Kulon Progo,Daerah Istimewa Yogyakarta
1585,Srwxf,YaraVita Tripholate 25 Gr @120,YAR-74,65,26,15,1677,5/23/2020,11/11/2021,1677,3/27/2023,TRUE,TRUE,Kabupaten Sleman,Daerah Istimewa Yogyakarta
1586,Rstgunn,Astonish 100 ML X 60,AST-6,71,1,9,66,6/8/2020,6/2/2021,66,4/2/2023,FALSE,TRUE,Kabupaten Kulon Progo,Daerah Istimewa Yogyakarta
1587,Otnxz,Dense 500 Gr X 20,DEN-30,38,8,5,295,11/8/2020,8/16/2021,295,3/29/2023,TRUE,TRUE,Kabupaten Pekalongan,Jawa Tengah
1588,Vrhqv,Anilo 50 Gr X 100,ANI-5,27,16,11,408,6/28/2020,11/4/2021,408,3/22/2023,FALSE,TRUE,Kabupaten Sleman,Daerah Istimewa Yogyakarta
1589,Otnxz,LEILI 1 L X 20,LEI-45,22,46,10,993,7/30/2020,5/16/2021,993,3/29/2023,FALSE,FALSE,Kabupaten Pekalongan,Jawa Tengah
1590,Mvljg,Cozeb 1 Kg X 20,COZ-24,82,31,18,2524,2/16/2020,8/9/2021,2524,3/28/2023,FALSE,FALSE,Kabupaten Purbalingga,Jawa Tengah
1591,Hzphnyx,Betanil 500 Gr x 20,BET-12,32,3,1,109,8/28/2020,7/18/2021,109,3/21/2023,FALSE,TRUE,Kabupaten Boyolali,Jawa Tengah
1592,Yfentk,ZENPRO NPK LIQUID X 15,ZEN-75,41,12,3,494,10/26/2020,12/20/2021,494,3/29/2023,TRUE,TRUE,Kabupaten Sleman,Daerah Istimewa Yogyakarta
1593,Piggxz,JOKER 400 Gr X 25,JOK-40,40,8,2,305,11/13/2020,12/25/2021,305,3/30/2023,FALSE,TRUE,Kabupaten Wonosobo,Jawa Tengah
1594,Zavxgh,YaraMila Complex X (50Kg),YAR-68,35,44,1,1538,5/7/2020,12/11/2021,1538,3/24/2023,TRUE,FALSE,Kabupaten Kulon Progo,Daerah Istimewa Yogyakarta
1595,Jnpva,SUPRETOX 1 L X 20,SUP-60,19,12,13,222,8/10/2020,10/26/2021,222,3/22/2023,TRUE,TRUE,Kabupaten Demak,Jawa Tengah
1596,Ychfbg,EXPLORE 250 ML X 36,EXP-33,26,40,3,1038,7/8/2020,9/26/2021,1038,3/27/2023,TRUE,TRUE,Kabupaten Gunungkidul,Daerah Istimewa Yogyakarta
1597,Ocpmzbq,SUPREMO 1 L X 20,SUP-58,69,17,16,1122,3/20/2020,10/9/2021,1122,4/1/2023,TRUE,FALSE,Kabupaten Batang,Jawa Tengah
1598,Vuppx,SUPREMO 1 L X 20,SUP-58,18,42,2,758,1/29/2020,6/28/2021,758,3/26/2023,FALSE,FALSE,Kabupaten Sleman,Daerah Istimewa Yogyakarta
1599,Xtuftk,Tapuz 100 Gr X 80,TAP-62,28,49,13,1361,6/16/2020,7/20/2021,1361,3/24/2023,FALSE,TRUE,Kota Yogyakarta,Daerah Istimewa Yogyakarta
1600,Dojntoc,AGIL 100 ML X 100,AGI-1,29,1,2,32,12/25/2020,8/6/2021,32,3/22/2023,TRUE,FALSE,Kabupaten Grobogan,Jawa Tengah
1601,Dojntoc,YaraLiva Nitrabor (25 Kg),YAR-66,62,7,14,440,12/11/2020,10/11/2021,440,3/27/2023,FALSE,TRUE,Kabupaten Grobogan,Jawa Tengah
1602,Jwhlxvr,SUPREMO 500 ML X 24,SUP-59,31,29,9,875,7/15/2020,1/2/2021,875,3/31/2023,TRUE,FALSE,Kabupaten Magelang,Jawa Tengah
1603,Ffcsef,Betanil 500 Gr x 20,BET-12,12,27,7,319,6/19/2020,10/21/2021,319,3/27/2023,FALSE,TRUE,Kabupaten Klaten,Jawa Tengah
1604,Mmtkhr,Betanil 500 Gr x 20,BET-12,12,20,8,231,6/1/2020,12/21/2021,231,3/21/2023,TRUE,FALSE,Kabupaten Purbalingga,Jawa Tengah
1605,Ifxmrr,BLASIL 250 ML X 40,BLA-14,92,33,5,3055,2/3/2020,8/27/2021,3055,3/23/2023,FALSE,FALSE,Kabupaten Blora,Jawa Tengah
1606,Qyhltvs,Ricequick 100 Gr X 70,RIC-55,27,20,14,537,11/28/2020,10/18/2021,537,4/2/2023,FALSE,TRUE,Kota Tegal,Jawa Tengah
1607,Sjgyul,ZENPRO NPK LIQUID X 15,ZEN-75,20,28,2,563,6/16/2020,10/3/2021,563,3/23/2023,TRUE,FALSE,Kabupaten Gunungkidul,Daerah Istimewa Yogyakarta
1608,Qhxmkw,DUMIL 100 Gr X 100,DUM-31,37,15,12,537,4/21/2020,7/4/2021,537,3/24/2023,TRUE,FALSE,Kabupaten Jepara,Jawa Tengah
1609,Znmlyx,KLENSECT 200 ML X 48,KLE-42,50,45,10,2238,7/31/2020,8/22/2021,2238,3/31/2023,TRUE,FALSE,Kota Yogyakarta,Daerah Istimewa Yogyakarta
1610,Xtuftk,CALIWA 350 OD 250 ML X 40,CAL-15,99,50,17,4898,2/6/2020,4/8/2021,4898,3/24/2023,FALSE,FALSE,Kota Yogyakarta,Daerah Istimewa Yogyakarta
1611,Tmewk,Cozeb 1 Kg X 20,COZ-24,34,15,18,478,10/6/2020,7/7/2021,478,3/21/2023,FALSE,TRUE,Kota Yogyakarta,Daerah Istimewa Yogyakarta
1612,Tvaoweb,LEILI 1 L X 20,LEI-45,53,34,2,1816,11/22/2020,11/2/2021,1816,3/23/2023,FALSE,TRUE,Kabupaten Kulon Progo,Daerah Istimewa Yogyakarta
1613,Kxzos,Anilo 100 Gr x 50,ANI-3,63,2,5,149,1/31/2020,5/13/2021,149,3/23/2023,FALSE,TRUE,Kabupaten Semarang,Jawa Tengah
1614,Dojntoc,JOKER 400 Gr X 25,JOK-40,70,17,2,1159,2/27/2020,9/17/2021,1159,3/25/2023,TRUE,FALSE,Kabupaten Grobogan,Jawa Tengah
1615,Krgska,YaraLiva Tropicote (25 Kg),YAR-67,34,10,12,337,10/25/2020,10/2/2021,337,3/25/2023,FALSE,TRUE,Kota Salatiga,Jawa Tengah
1616,Obkqjgm,Anilo 100 Gr x 50,ANI-3,39,8,17,312,3/16/2020,9/25/2021,312,3/29/2023,TRUE,FALSE,Kabupaten Kendal,Jawa Tengah
1617,Ifxmrr,CHLORMITE 200 ML X 48,CHL-19,34,34,10,1160,4/6/2020,10/30/2021,1160,3/26/2023,FALSE,TRUE,Kabupaten Blora,Jawa Tengah
1618,Oksxae,SUPRETOX 500 ML X 24,SUP-61,13,26,9,322,4/19/2020,1/15/2021,322,3/29/2023,FALSE,FALSE,Kabupaten Tegal,Jawa Tengah
1619,Qsumrji,Tapuz 100 Gr X 80,TAP-62,50,22,13,1095,7/2/2020,11/21/2021,1095,4/2/2023,FALSE,TRUE,Kabupaten Demak,Jawa Tengah
1620,Tikaomp,JOKER 100 Gr X 50,JOK-39,84,9,19,726,1/15/2020,4/8/2021,726,3/29/2023,FALSE,TRUE,Kota Yogyakarta,Daerah Istimewa Yogyakarta
1621,Tjkwwa,Custodia 250 ML X 40,CUS-25,19,33,8,618,12/23/2020,12/9/2021,618,3/21/2023,TRUE,TRUE,Kabupaten Kulon Progo,Daerah Istimewa Yogyakarta
1622,Pugey,Balistic 100ML X 36,BAL-9,28,37,13,1019,9/18/2020,3/11/2021,1019,3/30/2023,TRUE,FALSE,Kabupaten Jepara,Jawa Tengah
1623,Qtrmgud,BLASIL 250 ML X 40,BLA-14,92,34,9,3147,12/28/2020,4/30/2021,3147,3/26/2023,TRUE,FALSE,Kabupaten Grobogan,Jawa Tengah
1624,Hzphnyx,Remazole 250 ml X 40,REM-53,11,32,13,344,7/6/2020,9/19/2021,344,3/27/2023,FALSE,TRUE,Kabupaten Boyolali,Jawa Tengah
1625,Hfwdd,YaraMila Palmae 50 Kg,YAR-70,74,31,16,2279,5/4/2020,5/14/2021,2279,4/2/2023,TRUE,FALSE,Kabupaten Purbalingga,Jawa Tengah
1626,Mzmsaie,CHLORMITE 100 ML X 120,CHL-18,21,48,3,995,11/22/2020,1/10/2021,995,3/21/2023,TRUE,TRUE,Kabupaten Demak,Jawa Tengah
